ignore,entity_id,gallery,sku,url_key,name,short_description,description,price,bottle_size,attribute_set_id,type_id,status,visibility,weight,tax_class_id
0,3,0,RGD-NOU-001,pure-camellia-seed-oil-50,茶花籽油 50ml,<p>100﹪天然成份，含單一不飽和脂肪酸82.3%，與人體皮脂腺油酸分泌相近，最易吸收，全面呵護，能防禦紫外線及游離基對肌膚的傷害，亦能調節水油平衡，改善及潤澤肌膚，淡化色斑、細紋，緊緻抗衰老，是集保護與修護於一身的肌膚補養品，更適用於臉部、頸部、頭髮及全身護理。</p>,<strong>用法：</strong><p>面部：早、晚潔面，使用茶花籽保濕精華液後，倒一至兩滴茶花籽油於掌心，合掌輕擦溫熱茶花籽油，再輕輕按勻全面，然後以指腹輕輕打圈按摩一至兩分鐘，待油份慢慢滲透和吸收。</p><p>頸部：倒適量茶花籽由於掌心搓勻，用力壓托腮骨部位，向上按摩，有效收緊垂鬆肌肉。</p><p>身體：沐浴後或蒸氣浴前，把適量茶花籽油塗勻全身，配合按摩有助軟化皮層，舒緩乾燥痕癢，令肌膚健康潤澤；亦可用於足部，有助避免硬皮形成及軟化足部硬皮，保持線條優美。</p><p>頭部：於洗髮後，倒適量茶花籽由於掌心搓勻，於頭皮層脫髮或稀疏位置加以按摩，幫助治理脫髮及頭髮開叉折斷等問題。</p>,88,50毫升 / 1.7安士,4,simple,1,4,0,2
0,4,0,RGD-NOU-002,pure-camellia-seed-oil-100,茶花籽油 100ml,<p>100﹪天然成份，含單一不飽和脂肪酸82.3%，與人體皮脂腺油酸分泌相近，最易吸收，全面呵護，能防禦紫外線及游離基對肌膚的傷害，亦能調節水油平衡，改善及潤澤肌膚，淡化色斑、細紋，緊緻抗衰老，是集保護與修護於一身的肌膚補養品，更適用於臉部、頸部、頭髮及全身護理。</p>,<strong>用法：</strong><p>面部：早、晚潔面，使用茶花籽保濕精華液後，倒一至兩滴茶花籽油於掌心，合掌輕擦溫熱茶花籽油，再輕輕按勻全面，然後以指腹輕輕打圈按摩一至兩分鐘，待油份慢慢滲透和吸收。</p><p>頸部：倒適量茶花籽由於掌心搓勻，用力壓托腮骨部位，向上按摩，有效收緊垂鬆肌肉。</p><p>身體：沐浴後或蒸氣浴前，把適量茶花籽油塗勻全身，配合按摩有助軟化皮層，舒緩乾燥痕癢，令肌膚健康潤澤；亦可用於足部，有助避免硬皮形成及軟化足部硬皮，保持線條優美。</p><p>頭部：於洗髮後，倒適量茶花籽由於掌心搓勻，於頭皮層脫髮或稀疏位置加以按摩，幫助治理脫髮及頭髮開叉折斷等問題。</p>,145,90毫升 / 3.15安士,4,simple,1,4,0,2
1,0,0,RGD-NOU-003,camellia-seed-lavender-oil,茶花籽薰衣草油,<p>擁有與純正茶花籽油相同的功效，更加入100﹪天然薰衣草精華油，優雅香氛，具舒緩及鎮靜肌膚成份，有助灼傷皮膚康復及傷口癒合。</p>,<strong>用法：</strong><p>面部：早、晚潔面，使用茶花籽保濕精華液後，倒一至兩滴茶花籽薰衣草油於掌心，合掌輕擦溫熱茶花籽油，再輕輕按勻全面，然後以指腹打圈按摩一至兩分鐘，待油份慢慢滲透和吸收。</p><p>頸部：倒適量茶花籽薰衣草油於掌心搓勻，用力壓托腮骨部位，向上按摩，有效收緊垂鬆肌肉。</p><p>身體：沐浴後或蒸氣浴前，把適量茶花籽油塗勻全身，配合按摩有助軟化皮層，舒緩乾燥痕癢，令肌膚健康潤澤；亦可用於足部，有助避免硬皮形成及軟化足部硬皮，保持線條優美。</p><p>頭部：於洗髮後，倒適量茶花籽薰衣草油於掌心搓勻，於頭皮層脫髮或稀疏位置加以按摩，幫助治理脫髮及頭髮開叉折斷等問題。</p>,150,90毫升 / 3.15安士,4,simple,1,4,0,2
1,0,0,RGD-NOU-004,camellia-seed-lavender-oil,茶花籽修護精華油,<p>頂級野山茶花籽油，質感更柔軟透潤，深入肌膚底層，，刺激肌膚膠原蛋白和彈力纖維生長，從根本鎖濕及滋養，提升肌膚彈性。加入維他命E、天竺葵精華油，有效抗氧化、抗衰老，抗色素。配合按摩，更可平衡板脂分泌，以油鎖水，令肌膚達至完美的水油平衡，由內而外，釋放健康亮澤。</p>,<strong>用法：</strong><p>面部：每天早、晚使用茶花籽保濕精華液及茶花籽水凝淨透抗氧化精華素後，倒一至兩滴茶花籽修護精華油於掌心，合掌輕擦溫熱精華油，再輕輕按勻全面，然後以指腹打圈按摩，待油份慢慢滲透和吸收（適用於眼部周圍）。</p><p>頸部：倒適量茶花籽薰衣草油於掌心搓勻，用力壓托腮骨部位，向上按摩，有效收緊垂鬆肌肉。</p><strong>茶花籽油護膚小貼士：<strong><ul><li>清除面部所有污垢後，塗上純正茶花籽油、茶花籽薰衣草油或茶花籽修護精華油，以熱毛巾覆蓋面部直至毛巾轉涼。毛巾的熱力可令毛孔張開，使茶花籽油的養份更易被肌膚吸收，令養份直接滲入肌膚深層，達致深層滋潤及修護的效果。</li><li>如有脫皮現象，切勿將死皮扯下，宜用毛質柔軟的軟刷，沾上純正茶花籽油、茶花籽薰衣草油或茶花籽修護精華油，以打圈的方式按摩，即可軟化死皮，並把脫落的皮屑清除。</li></ul>,338,30毫升 / 1安士,4,simple,1,4,0,2
1,0,0,RGD - NOU - 005,,精製茶花籽油,,,298,30毫升 / 1安士,4,simple,1,4,0,2
0,5,0,RGD-TON-001,camellia-seed-essence,茶花籽保濕精華液,<p>蘊含茶花籽精華，並注入法國AQUAXYLTM天然保濕配方，淨化潔淨後的肌膚，迅速補充水份，調節肌質，平衡油脂，更具舒緩、消炎、緊緻毛孔、美白抗氧化等功效，加強細胞的活躍度，幫助潔淨後的肌膚，深度吸收護膚品內的精華。</p>,<strong>用法：</strong><p>潔淨肌膚後，將適量茶花籽保濕精華液倒在化妝棉或手心中，輕柔地拍打臉部和頸部。</p><strong>昇華護理：</strong><p>使用茶花籽保濕精華液後，再使用茶花籽水凝淨透抗氧化精華素，可深層保濕修護柔滑肌膚，幫助改善膚質色素；再配合純正茶花籽油、茶花籽修護精華油、茶花籽活肌晶瑩水份啫喱或茶花籽美肌淨白保濕乳霜，肌膚更柔潤亮澤，調養效果顯著。</p><strong>DIY舒緩保濕面膜：</strong><p>急救乾燥、疲倦、暗啞及脫皮肌膚，可以茶花籽保濕精華液DIY舒緩淨肌保濕面膜。</p><ul><li>完成潔膚程序後，把茶花籽保濕精華液沾濕整張壓縮紙面膜至完全濕透，打開，敷在面上約十至十五分鐘（避免眼部四周）。</li><li>拿掉面膜，按摩面部至剩餘的精華液被完全吸收，再以適合您膚質的茶花籽保濕滋潤修護系列產品，作最後護膚程序。</li></ul><p>敷後肌膚即時注入水份，舒緩問題肌膚；更可作妝前全面補濕，解決脫皮現象，令妝容更貼服持久。</p>,205,135毫升 / 4.76安士,4,simple,1,4,0,2
1,0,0,RGD - TON - 002,,茶花籽保濕精華液 ( 三支裝),,,225,50 ml x 3,4,simple,1,4,0,2
0,6,0,RGD-CLN-001,camellia-seed-cleansing-milk,茶花籽柔潤潔面奶,<p>蘊含茶花籽精華和薰衣草精華的無泡溫和配方，淨化同時舒緩卸妝後的肌膚，徹底清潔面上污垢，繼而滋養皮脂細胞，加強肌膚儲水力，保持彈性，實踐提昇肌膚素質的第一步。</p>,<strong>用法：</strong><p>先以溫水潤濕肌膚，取適量潔面奶塗勻全面，輕輕打圈按摩30-60秒後再以溫水徹底洗淨。（適用於眼部及唇部位置）</p>,198,135毫升 / 4.76安士,4,simple,1,4,0,2
0,7,0,RGD-CLN-002,camellia-seed-purifying-gel-cleanser,茶花籽潔肌淨膚啫喱,<p>明淨柔和的輕柔泡沫配方，特別適合油性皮膚，能徹底清除肌膚毛孔污垢，同時提滋潤保濕，潔淨同時修護，用後肌膚倍加明淨柔滑。</p>,<strong>用法：</strong><p>先以溫水潤濕肌膚，取適量淨肌啫喱於手心加水輕揉至起泡，把泡沫塗勻全面輕輕打圈，然後再以溫水徹底洗淨。</p>,198,100毫升 / 3.5安士,4,simple,1,4,0,2
0,8,0,RGD-CLN-003,camellia-seed-cleansing-oil,茶花籽深層潔面油,<p>純淨天然的茶花籽精華油，配合青檸精華油、杏仁油、角沙烯、維他命E的多元美肌配方，迅速徹底溶解防曬日霜、油性化妝品及防水化妝品殘留的頑固污垢，隨即修護肌膚皮脂腺，平衡水油分泌，加強肌膚的美白抗氧力，令肌膚細胞回復活躍。</p>,<strong>用法：</strong><p>塗勻全臉（眼部及唇部適用），用指腹以打圈動作按摩約30-60秒，待潔面油與彩妝充份融合並溶解後，再往面上拍上大量溫水，將潔面油乳化變白，繼續輕輕按摩面部約20秒，再徹底沖洗乾淨。</p>,298,150毫升 / 5.29安士,4,simple,1,4,0,2
